wave,year,happening,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,reg_utilities,fund_research,discuss_GW,gender,age_category,educ_category,income_category,race,party_x_ideo,region4,employment,happening_cont,worry_cont,happening_labels,age_category_labels,educ_category_labels,income_category_labels
1,2008,3,natural and human,happening,3,2,3,4,4,4,5,4,4,4,3,female,3,2,2,white non hisp,conservative republican,south,Not working –retired,3.177048446732002,2.4890167348412966,yes,55+,highschool,50000-99999
1,2008,2,natural and human,dont know,2,2,-1,2,3,3,3,3,3,3,2,male,2,1,1,white non hisp,no interest,midwest,Not working –disabled,2.3892098382747045,2.561633481527521,dont know,35-54,no highschool,less 50000
1,2008,2,natural,disagreement,1,1,1,1,1,1,1,2,1,1,1,female,2,4,1,hisp,conservative republican,west,Not working –looking,1.7235310831515136,1.3625589446376425,dont know,35-54,bachelor or higher,less 50000
1,2008,3,natural,happening,3,2,2,3,3,3,4,3,4,4,2,male,3,4,3,white non hisp,conservative republican,south,Not working –retired,4.669094061301311,2.6617477469718045,yes,55+,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,3,0,0,0,0,3,2,3,1,4,1,female,1,3,2,white non hisp,conservative republican,south,Working –as a paid employee,3.3530206290305125,4.254326010181369,yes,18-34,college,50000-99999
1,2008,2,natural,disagreement,2,0,0,0,0,0,2,1,1,3,2,male,1,4,2,white non hisp,conservative republican,west,Working –self-employe,2.3946275420838887,2.3861420316167647,dont know,18-34,bachelor or higher,50000-99999
1,2008,3,natural and human,disagreement,3,2,3,4,4,4,5,3,2,4,3,male,1,4,1,other non hisp,conservative republican,west,Working –as a paid employee,2.4170193313752137,2.773932767530608,yes,18-34,bachelor or higher,less 50000
1,2008,1,natural and human,not happening,2,3,3,3,3,3,4,2,2,2,2,male,1,4,2,other non hisp,independent,west,Working –as a paid employee,0.5560683122891233,1.488980731336635,no,18-34,bachelor or higher,50000-99999
1,2008,1,not happening,disagreement,1,1,1,1,1,1,1,2,2,3,3,female,2,4,3,white non hisp,independent,northeast,Working –self-employe,1.726956942357452,0.47655077285374114,no,35-54,bachelor or higher,more 100000
1,2008,3,natural,happening,3,0,0,0,4,4,3,3,4,4,3,female,3,4,3,white non hisp,conservative republican,south,Not working –other,2.7087458632524837,3.1342427865810563,yes,55+,bachelor or higher,more 100000
