;Locations;Cases;Deaths;Recovered;References
;China (mainland)[d];"81093";"3270";"72703";[31]
;Italy[e];"59138";"5476";"7024";[34]
;United States[f];"40850";481;187;[36][35]
;Spain;"33089";"2206";"3355";[37]
;Germany;"27546";115;422;[38]
;Iran[g];"23049";"1812";"8376";[39][40]
;France[h];"16689";674;"2200";[41][35]
;South Korea;"8961";111;"3166";[42]
;Switzerland[i];"8249";107;131;[43][44]
;United Kingdom[j];"5703";335;140;[49][50]
;Netherlands[k];"4768";214;–;[52]
;Austria;"4097";21;9;[53][54]
;Belgium;"3743";88;350;[55]
;Norway[l];"2561";10;–;[56]
;Portugal;"2060";23;14;[58]
;Sweden[m];"2038";25;16;[59][60]
;Australia[n];"1709";7;88;[35][61]
;Brazil;"1619";25;2;[35][62]
;Denmark[o];"1572";24;–;[64]
;Malaysia;"1518";14;159;[68][69]
;Canada;"1472";21;18;[70]
;Israel;"1238";1;37;[71]
;Turkey;"1236";30;0;[72]
;Czech Republic;"1165";1;6;[73]
;Japan;"1101";41;235;[35][74]
;Ecuador;981;18;3;[75]
;Ireland;906;4;5;[76]
;Pakistan;803;6;6;[77]
;Luxembourg;798;8;6;[78]
;Chile;746;1;11;[79][80]
;Thailand;721;1;52;[81][82]
;Diamond Princess[p];712;9;574;[83][84]
;Poland;692;8;1;[85][86]
;Finland[q];626;1;10;[35][90]
;Greece;624;17;19;[91]
;Iceland;588;1;36;[92]
;Indonesia;579;49;30;[93][94]
;Romania;576;5;73;[95]
;Saudi Arabia;511;0;18;[96]
;Singapore;509;2;152;[97][98]
;Qatar;494;0;33;[99]
;India;468;9;34;[100]
;Philippines;462;33;18;[101]
;Russia[r];438;0;17;[105]
;Slovenia;414;3;–;[106]
;South Africa;402;0;2;[107]
;Peru;363;5;1;[108]
;Hong Kong;356;4;100;[109]
;Estonia;352;0;4;[110]
;Bahrain;339;2;160;[111]
;Egypt[s];327;14;56;[112]
;Mexico;316;2;4;[35][113]
;Croatia;315;0;5;[114]
;Panama;313;3;1;[115][116]
;Argentina;266;4;27;[117]
;Iraq;266;23;62;[118]
;Lebanon;256;4;8;[119][120]
;Dominican Republic;245;3;0;[35]
;Colombia;235;2;3;[121][122]
;Serbia;222;2;2;[123][35]
;Algeria;201;17;65;[35]
;Taiwan;195;2;29;[124][125]
;Armenia;194;0;2;[35]
;Bulgaria;190;3;3;[126]
;Kuwait;189;0;30;[127][128]
;Slovakia;185;0;7;[129][130]
;Latvia;180;0;1;[35][131]
;San Marino;175;20;4;[132]
;Hungary;167;7;16;[133]
;Lithuania;154;1;1;[134]
;United Arab Emirates;153;2;38;[135][136]
;North Macedonia;136;2;1;[137][138]
;Uruguay;135;0;0;[35][139]
;Costa Rica;134;2;2;[140][35]
;Morocco;134;4;3;[141]
;Bosnia and Herzegovina;128;1;2;[35]
;Vietnam;122;0;17;[142]
;Andorra;112;1;1;[143]
;Jordan;112;0;1;[35][144]
;Malta;107;0;2;[145]
;Albania;104;4;3;[146]
;New Zealand;102;0;0;[147]
;Burkina Faso;99;4;5;[148]
;Moldova;94;1;2;[149]
;Brunei;91;0;2;[150]
;Sri Lanka;91;0;3;[151][152]
;Tunisia;89;3;1;[35]
;Cambodia;86;0;2;[153][154]
;Belarus;81;0;22;[155][156]
;Venezuela;77;0;15;[157]
;Cyprus[t];95;1;3;[35]
;Ukraine;73;3;1;[158]
;Azerbaijan;72;1;10;[159]
;Senegal;67;0;5;[35][160]
;Oman;66;0;17;[161]
;Kazakhstan;62;0;0;[162]
;Georgia;61;0;8;[163][164]
;Palestine;59;0;17;[165]
;Cameroon;56;0;2;[35]
;Trinidad and Tobago;50;0;0;[35][166]
;Liechtenstein;46;0;0;[167]
;Uzbekistan;46;0;0;[35]
;Afghanistan;40;1;1;[35]
;Northern Cyprus;38;0;3;[168]
;DR Congo;36;2;0;[35]
;Nigeria;36;1;2;[169][170]
;Cuba[u];35;1;0;[171]
;Bangladesh;33;3;3;[172]
;Kosovo;31;0;0;[173]
;Bolivia;27;0;0;[174]
;Honduras;27;0;0;[175]
;Ivory Coast;25;0;1;[176]
;Ghana;24;1;0;[177][35]
;Macau;24;0;10;[178]
;Mauritius;24;2;0;[179]
;Monaco;23;0;1;[180][35]
;Montenegro;22;1;0;[181][35]
;Paraguay;22;1;0;[182][183]
;Guernsey;20;0;0;[184]
;Guatemala;19;1;0;[35]
;Jamaica;19;1;2;[35][185]
;Rwanda;19;0;0;[35]
;Togo;18;0;0;[186][35]
;Barbados;17;0;0;[187]
;Jersey;16;0;0;[184]
;Kenya;16;0;0;[35]
;Kyrgyzstan;14;0;0;[188]
;Maldives;13;0;3;[189]
;Madagascar;12;0;0;[190]
;Tanzania;12;0;0;[191]
;Ethiopia;11;0;0;[35]
;Mongolia;10;0;0;[35]
;Equatorial Guinea;9;0;0;[35]
;Seychelles;7;0;0;[192]
;Gabon;5;1;0;[35]
;Guyana;5;1;0;[193]
;Isle of Man;5;0;0;[194]
;Suriname;5;0;0;[195]
;Bahamas;4;0;0;[196]
;Eswatini;4;0;0;[197]
;Guinea;4;0;1;[198]
;Cape Verde;3;0;0;[199]
;Central African Republic;3;0;0;[35]
;Republic of the Congo;3;0;0;[200]
;El Salvador;3;0;0;[201]
;Liberia;3;0;0;[35][202]
;Namibia;3;0;0;[35]
;Zambia;3;0;0;[35]
;Zimbabwe;3;1;0;[35]
;Angola;2;0;0;[203]
