"index"	"id"	"age"	"gender"	"activity"	"logic"	"reflex"	"comprehension"
"1"	1	26	"m"	"reading"	88	13.7	72
"2"	2	31	"m"	"reading"	85	11.8	83
"3"	3	38	"m"	"reading"	82	5.8	67
"4"	4	24	"m"	"reading"	102	18	66
"5"	5	30	"f"	"reading"	48	14	62
"6"	6	31	"m"	"reading"	61	14.1	58
"7"	7	34	"f"	"reading"	76	10.3	81
"8"	8	29	"m"	"reading"	58	14.7	79
"9"	9	40	"f"	"reading"	71	9.3	70
"10"	10	29	"f"	"reading"	81	13.7	69
"11"	11	32	"f"	"reading"	60	9.9	73
"12"	12	35	"f"	"reading"	80	16.8	80
"13"	13	28	"m"	"reading"	78	11.2	94
"14"	14	25	"f"	"reading"	58	19.2	88
"15"	15	39	"m"	"reading"	55	14	60
"16"	16	18	"f"	"reading"	85	17.4	79
"17"	17	34	"f"	"reading"	67	9.8	64
"18"	18	30	"f"	"reading"	81	18.2	62
"19"	19	35	"f"	"reading"	57	15.7	76
"20"	20	32	"f"	"reading"	89	17.6	80
"21"	21	40	"m"	"reading"	50	15.7	60
"22"	22	24	"m"	"reading"	81	16.2	76
"23"	23	38	"m"	"reading"	77	15.6	65
"24"	24	40	"m"	"reading"	74	9.4	87
"25"	25	30	"f"	"reading"	80	15	72
"26"	26	18	"m"	"reading"	76	11.7	68
"27"	27	32	"f"	"reading"	60	12.8	71
"28"	28	27	"f"	"reading"	66	11.2	46
"29"	29	34	"f"	"reading"	75	17.6	68
"30"	30	31	"f"	"reading"	50	14	76
"31"	31	34	"m"	"juggling"	47	15.4	46
"32"	32	32	"m"	"juggling"	91	14.5	45
"33"	33	35	"m"	"juggling"	29	16.1	65
"34"	34	29	"m"	"juggling"	41	16.1	62
"35"	35	26	"m"	"juggling"	75	15	56
"36"	36	27	"f"	"juggling"	76	10	72
"37"	37	21	"f"	"juggling"	73	16.1	60
"38"	38	25	"f"	"juggling"	61	11.8	44
"39"	39	27	"f"	"juggling"	65	17.2	73
"40"	40	29	"f"	"juggling"	46	16.8	85
"41"	41	28	"f"	"juggling"	50	15.8	71
"42"	42	20	"m"	"juggling"	56	14.9	36
"43"	43	26	"f"	"juggling"	46	19.6	62
"44"	44	40	"f"	"juggling"	72	8.9	61
"45"	45	33	"m"	"juggling"	36	17.2	52
"46"	46	40	"m"	"juggling"	45	13.2	73
"47"	47	28	"m"	"juggling"	41	16.3	71
"48"	48	30	"f"	"juggling"	66	15.2	45
"49"	49	29	"m"	"juggling"	43	13.2	43
"50"	50	24	"m"	"juggling"	68	21.3	22
"51"	51	26	"m"	"juggling"	78	15.6	33
"52"	52	40	"f"	"juggling"	60	13.5	43
"53"	53	27	"m"	"juggling"	68	22.5	68
"54"	54	36	"m"	"juggling"	50	17.4	45
"55"	55	25	"m"	"juggling"	68	17.1	51
"56"	56	20	"f"	"juggling"	41	16.9	47
"57"	57	28	"m"	"juggling"	59	16.5	84
"58"	58	35	"f"	"juggling"	40	14.7	38
"59"	59	36	"f"	"juggling"	56	13.4	68
"60"	60	38	"f"	"juggling"	76	18	49
"61"	61	21	"m"	"gaming"	86	18.4	50
"62"	62	40	"f"	"gaming"	68	16.3	56
"63"	63	26	"m"	"gaming"	63	16.2	98
"64"	64	31	"m"	"gaming"	62	19.8	62
"65"	65	33	"m"	"gaming"	64	11.6	71
"66"	66	26	"m"	"gaming"	79	21.1	54
"67"	67	20	"f"	"gaming"	60	21.3	49
"68"	68	28	"m"	"gaming"	118	19	62
"69"	69	30	"f"	"gaming"	78	12.1	49
"70"	70	26	"f"	"gaming"	61	17.2	80
"71"	71	25	"m"	"gaming"	81	14.1	36
"72"	72	32	"f"	"gaming"	73	14.7	61
"73"	73	29	"f"	"gaming"	70	14.3	60
"74"	74	32	"f"	"gaming"	84	8.5	81
"75"	75	30	"m"	"gaming"	78	14.5	72
"76"	76	25	"f"	"gaming"	90	13.3	63
"77"	77	37	"f"	"gaming"	67	15.7	80
"78"	78	34	"f"	"gaming"	102	12.9	78
"79"	79	35	"f"	"gaming"	53	15.3	73
"80"	80	23	"m"	"gaming"	77	21.5	58
"81"	81	35	"m"	"gaming"	82	11.9	65
"82"	82	22	"f"	"gaming"	93	11.8	45
"83"	83	27	"m"	"gaming"	55	16.5	77
"84"	84	23	"f"	"gaming"	58	13.9	63
"85"	85	19	"m"	"gaming"	100	14.2	74
"86"	86	39	"m"	"gaming"	81	17.7	57
"87"	87	27	"f"	"gaming"	86	16.8	19
"88"	88	29	"m"	"gaming"	63	20	45
"89"	89	28	"m"	"gaming"	104	12.9	48
"90"	90	32	"m"	"gaming"	76	17	73
